LEXEMES BELLOW: 
----->line: 1, Lexeme: Program , token( Keyword ,  )
----->line: 24, Lexeme: writeln , token( Function,  )
----->line: 24, Lexeme: ( , token( ( , lp )
----->line: 24, Lexeme: 'em que ano voce esta?' , token( String, 'em que ano voce esta?' )
----->line: 24, Lexeme: ) , token( ) , rp )
----->line: 24, Lexeme: ; , token( ; , semicolon )
----->line: 25, Lexeme: readln , token( Function,  )
----->line: 25, Lexeme: ( , token( ( , lp )
----->line: 25, Lexeme: anoatual , token( ID , 3 )
----->line: 25, Lexeme: ) , token( ) , rp )
----->line: 25, Lexeme: ; , token( ; , semicolon )
----->line: 26, Lexeme: soma , token( ID , 4 )
----->line: 26, Lexeme: := , token( := , assign_op )
----->line: 26, Lexeme: anoatual , token( ID , 3 )
----->line: 26, Lexeme: - , token( - , minus )
----->line: 26, Lexeme: ano , token( ID , 2 )
----->line: 26, Lexeme: ; , token( ; , semicolon )
----->line: 27, Lexeme: writeln , token( Function,  )
----->line: 27, Lexeme: ( , token( ( , lp )
----->line: 27, Lexeme: 'voce nasceu no ano', , token( String, 'voce nasceu no ano', )
----->line: 27, Lexeme: soma , token( ID , 4 )
----->line: 27, Lexeme: ) , token( ) , rp )
----->line: 27, Lexeme: ; , token( ; , semicolon )
----->line: 28, Lexeme: writeln , token( Function,  )
----->line: 28, Lexeme: ; , token( ; , semicolon )
----->line: 29, Lexeme: writeln , token( Function,  )
----->line: 29, Lexeme: ; , token( ; , semicolon )
----->line: 30, Lexeme: isso , token( ID , 9 )
----->line: 31, Lexeme: writeln , token( Function,  )
----->line: 31, Lexeme: ; , token( ; , semicolon )
----->line: 32, Lexeme: writeln , token( Function,  )
----->line: 33, Lexeme: End , token( Keyword ,  )
----->line: 33, Lexeme: . , token( . , dot )
SYMBOL_TABLE BELLOW: 
----->line: 1, Lexeme: Pzim , token: ID , address: 1 )
----->line: 3, Lexeme: ano , token: ID , address: 2 )
----->line: 4, Lexeme: anoatual , token: ID , address: 3 )
----->line: 5, Lexeme: soma , token: ID , address: 4 )
----->line: 6, Lexeme: flow , token: ID , address: 5 )
----->line: 7, Lexeme: teste , token: ID , address: 6 )
----->line: 9, Lexeme: a , token: ID , address: 7 )
----->line: 9, Lexeme: b , token: ID , address: 8 )
----->line: 30, Lexeme: isso , token: ID , address: 9 )
